ID;TIPO GEOMETRIA;AÑO;CAUSA;AREA_Ha;OBSERVACION;LATITUD;LONGITUD;MUNICIPIO
7463;Polygon;2020;Cultivo;0,12651;Ninguna;8' 22' 43,726' N;77' 14' 19,019' W;ACANDI
4659;Polygon;2019;Cultivo;0,14072;Ninguna;8' 30' 47,551' N;77' 19' 30,507' W;ACANDI
7459;Polygon;2020;Cultivo;0,14125;Ninguna;8' 22' 30,966' N;77' 13' 49,720' W;ACANDI
9719;Polygon;2021;Cultivo;0,15807;Ninguna;8' 36' 11.256' N;77' 20' 50.757' W;ACANDI
7464;Polygon;2020;Cultivo;0,18455;Ninguna;8' 22' 22,008' N;77' 14' 3,921' W;ACANDI
7445;Polygon;2020;Cultivo;0,18485;Ninguna;8' 20' 7,286' N;77' 12' 42,121' W;ACANDI
7440;Polygon;2020;Cultivo;0,18539;Ninguna;8' 23' 18,620' N;77' 14' 40,196' W;ACANDI
7484;Polygon;2020;Cultivo;0,20044;Ninguna;8' 27' 50,102' N;77' 21' 38,627' W;ACANDI
7478;Polygon;2020;Cultivo;0,21474;Ninguna;8' 24' 2,397' N;77' 9' 34,027' W;ACANDI
4684;Polygon;2019;Cultivo;0,21712;Ninguna;8' 29' 1,740' N;77' 22' 8,066' W;ACANDI
4719;Polygon;2019;Ganaderia;0,23432;Ninguna;8' 28' 33,947' N;77' 15' 13,315' W;ACANDI
7461;Polygon;2020;Cultivo;0,26409;Ninguna;8' 22' 23,660' N;77' 14' 3,844' W;ACANDI
7419;Polygon;2020;Cultivo;0,26966;Ninguna;8' 31' 23,497' N;77' 23' 35,401' W;ACANDI
4658;Polygon;2019;Cultivo;0,27939;Ninguna;8' 30' 55,153' N;77' 19' 39,360' W;ACANDI
4726;Polygon;2019;Ganaderia;0,28486;Ninguna;8' 25' 48,509' N;77' 11' 27,234' W;ACANDI
7434;Polygon;2020;Cultivo;0,28781;Ninguna;8' 28' 48,205' N;77' 15' 53,533' W;ACANDI
7462;Polygon;2020;Cultivo;0,29322;Ninguna;8' 22' 26,779' N;77' 14' 7,513' W;ACANDI
4729;Polygon;2019;Ganaderia;0,29542;Ninguna;8' 26' 28,363' N;77' 13' 1,112' W;ACANDI
4739;Polygon;2019;Ganaderia;0,30872;Ninguna;8' 23' 32,584' N;77' 11' 50,315' W;ACANDI
4744;Polygon;2019;Ganaderia;0,31364;Ninguna;8' 23' 15,517' N;77' 12' 28,232' W;ACANDI
7397;Polygon;2019;Cultivo;0,35350;Ninguna;8' 20' 26,869' N;77' 6' 22,847' W;ACANDI
4670;Polygon;2019;Cultivo;0,35510;Ninguna;8' 30' 24,966' N;77' 21' 58,005' W;ACANDI
4664;Polygon;2019;Cultivo;0,36828;Ninguna;8' 30' 30,398' N;77' 21' 20,163' W;ACANDI
7420;Polygon;2020;Cultivo;0,37081;Ninguna;8' 33' 1,024' N;77' 23' 6,129' W;ACANDI
4671;Polygon;2019;Cultivo;0,37094;Ninguna;8' 30' 27,559' N;77' 22' 0,577' W;ACANDI
4717;Polygon;2019;Cultivo;0,37812;Ninguna;8' 29' 24,905' N;77' 15' 21,400' W;ACANDI
7429;Polygon;2020;Cultivo;0,40393;Ninguna;8' 28' 14,778' N;77' 14' 58,785' W;ACANDI
4728;Polygon;2019;Ganaderia;0,40613;Ninguna;8' 26' 25,763' N;77' 12' 12,191' W;ACANDI
7423;Polygon;2020;Cultivo;0,41172;Ninguna;8' 38' 24,167' N;77' 21' 11,517' W;ACANDI
7469;Polygon;2020;Cultivo;0,41736;Ninguna;8' 22' 30,556' N;77' 15' 14,070' W;ACANDI
4711;Polygon;2019;Cultivo;0,43403;Ninguna;8' 21' 55,833' N;77' 10' 32,016' W;ACANDI
4677;Polygon;2019;Cultivo;0,43753;Ninguna;8' 29' 4,171' N;77' 22' 4,908' W;ACANDI
4743;Polygon;2019;Ganaderia;0,43864;Ninguna;8' 23' 12,679' N;77' 12' 26,643' W;ACANDI
7436;Polygon;2020;Cultivo;0,44349;Ninguna;8' 22' 54,461' N;77' 15' 17,305' W;ACANDI
